reaction	linear_coefficient
EX_cd2_e	[0.6163645538090758]
3OAR80	[0.7017121615776662]
EX_cbi_e	[0.6163645538090758]
EX_cbl1_e	[0.6163645538090758]
2AGPEAT120	[0.5597253628046721]
2AGPEAT140	[0.5597253628046721]
3OAS100	[0.4359083207107949]
12DGR120tipp	[0.6163645538090758]
2AGPEAT141	[0.5597253628046721]
3OAS120	[0.4359083207107949]
2AGPEAT160	[0.5597253628046721]
2AGPEAT161	[0.5597253628046721]
2AGPEAT180	[0.5597253628046721]
12DGR140tipp	[0.6163645538090758]
2AGPEAT181	[0.5597253628046721]
3OAS121	[0.4359083207107949]
2AGPG120tipp	[np.float64(0.5681022767471268)]
2AGPG140tipp	[np.float64(0.5681022767471268)]
12DGR141tipp	[0.6163645538090758]
12DGR160tipp	[0.6163645538090758]
12DGR161tipp	[0.6163645538090758]
2AGPG141tipp	[np.float64(0.5681022767471268)]
12DGR180tipp	[0.6163645538090758]
3OAS140	[0.4359083207107949]
12DGR181tipp	[0.6163645538090758]
2AGPG160tipp	[np.float64(0.5681022767471268)]
3OAS141	[0.4359083207107949]
2AGPG161tipp	[np.float64(0.5681022767471268)]
2AGPG180tipp	[np.float64(0.5681022767471268)]
2AGPG181tipp	[np.float64(0.5681022767471268)]
2AGPGAT120	[0.5597253628046721]
2AGPGAT140	[0.5597253628046721]
2AGPGAT141	[0.5597253628046721]
2AGPGAT160	[0.5597253628046721]
2AGPGAT161	[0.5597253628046721]
2AGPGAT180	[0.5597253628046721]
3OAS160	[0.4359083207107949]
2AGPGAT181	[0.5597253628046721]
3OAS161	[0.4359083207107949]
3OAS180	[0.4359083207107949]
3OAS181	[0.7433294642960308]
3OAS60	[0.4359083207107949]
3OAS80	[0.4359083207107949]
3OXCOAT	[np.float64(0.5681022767471268)]
3PEPTabcpp	[np.float64(0.5681022767471268)]
12PPDt	[np.float64(0.5681022767471268)]
3PEPTtex	[0.46825255981593544]
2DGLCNRx	[0.7433294642960308]
2DGLCNRy	[0.7433294642960308]
13PPDH	[0.566681664771157]
2DGULRx	[0.7433294642960308]
3UMPtex	[0.46825255981593544]
2DGULRy	[0.7433294642960308]
13PPDtex	[0.6163645538090758]
13PPDtpp	[0.6163645538090758]
42A12BOOXpp	[0.7101015070332943]
14GLUCANabcpp	[0.5579600874850402]
4HOXPACDtex	[0.46825255981593544]
14GLUCANtexi	[0.5996506042051873]
23CAMPtex	[0.46825255981593544]
23CCMPtex	[0.46825255981593544]
23CGMPtex	[0.46825255981593544]
23CUMPtex	[0.46825255981593544]
23DAPPAt2pp	[0.6163645538090758]
2INSD	[0.7433294642960308]
2MAHMP	[0.7433294642960308]
4HTHRS	[np.float64(0.5681022767471268)]
34dhpactex	[0.46825255981593544]
3AMPtex	[0.46825255981593544]
23DAPPAtex	[0.46825255981593544]
23PDE2pp	[np.float64(0.5681022767471268)]
23PDE4pp	[np.float64(0.5681022767471268)]
3CMPtex	[0.46825255981593544]
23PDE7pp	[np.float64(0.5681022767471268)]
4PCP	[np.float64(0.5681022767471268)]
23PDE9pp	[np.float64(0.5681022767471268)]
3GMPtex	[0.46825255981593544]
3HAD100	[0.7433294642960308]
3HAD120	[0.7433294642960308]
4PCPpp	[0.6163645538090758]
3HAD121	[0.7433294642960308]
26DAHtex	[0.46825255981593544]
2AGPA120tipp	[np.float64(0.5681022767471268)]
2AGPA140tipp	[np.float64(0.5681022767471268)]
3HAD140	[0.7433294642960308]
3HAD141	[0.7433294642960308]
3HAD160	[0.7433294642960308]
2AGPA141tipp	[np.float64(0.5681022767471268)]
2AGPA160tipp	[np.float64(0.5681022767471268)]
2AGPA161tipp	[np.float64(0.5681022767471268)]
2AGPA180tipp	[np.float64(0.5681022767471268)]
2AGPA181tipp	[np.float64(0.5681022767471268)]
3HAD161	[0.7433294642960308]
2AGPE120tipp	[np.float64(0.5681022767471268)]
3HAD180	[0.7433294642960308]
4PEPTabcpp	[0.5688564992228582]
3HAD181	[0.7433294642960308]
2AGPE140tipp	[np.float64(0.5681022767471268)]
2AGPE141tipp	[np.float64(0.5681022767471268)]
3HAD40	[0.7433294642960308]
2AGPE160tipp	[np.float64(0.5681022767471268)]
3HAD60	[0.7433294642960308]
4PEPTtex	[0.46825255981593544]
3HAD80	[0.7433294642960308]
2AGPE161tipp	[np.float64(0.5681022767471268)]
2AGPE180tipp	[np.float64(0.5681022767471268)]
3HCINNMH	[0.7433294642960308]
5DGLCNtex	[0.46825255981593544]
3HPPPNH	[0.7433294642960308]
2AGPE181tipp	[np.float64(0.5681022767471268)]
3NTD2pp	[np.float64(0.5681022767471268)]
5DOAN	[0.7433294642960308]
3NTD4pp	[np.float64(0.5681022767471268)]
3NTD7pp	[np.float64(0.5681022767471268)]
3NTD9pp	[np.float64(0.5681022767471268)]
ACGALtex	[0.46825255981593544]
ACGAM1Ptex	[0.46825255981593544]
A5PISO	[0.7433294642960308]
ACGAMK	[0.6155365870639058]
ACGAMT	[np.float64(0.5681022767471268)]
AACPS1	[0.5426589053918834]
ACGAptspp	[0.5594947940301161]
AACPS2	[0.5426589053918834]
ACGAtex	[0.46825255981593544]
AACPS3	[0.5426589053918834]
ACGK	[0.7433294642960308]
ACGS	[0.46825255981593544]
AACPS4	[0.5426589053918834]
ACHBS	[0.5594947940301161]
ACKr	[0.4245222105819121]
3OADPCOAT	[0.7433294642960308]
AACPS5	[0.5426589053918834]
3OAR100	[0.7017121615776662]
AACPS6	[0.5426589053918834]
3OAR120	[0.7017121615776662]
AACPS7	[0.5426589053918834]
3OAR121	[0.7017121615776662]
3OAR140	[0.7017121615776662]
ACLDC	[0.5784829744022093]
ACLS	[0.5594947940301161]
3OAR141	[0.7017121615776662]
ACLS_a	[0.6163645538090758]
AACPS8	[0.5426589053918834]
ACMAMUT	[0.584919313077745]
ACMANAptspp	[np.float64(0.5681022767471268)]
ACMANAtex	[0.46825255981593544]
3OAR160	[0.7017121615776662]
3OAR161	[0.7017121615776662]
3OAR180	[0.7017121615776662]
3OAR181	[0.7017121615776662]
3OAR40	[0.7017121615776662]
3OAR60	[0.7017121615776662]
ACMUMptspp	[0.5898302389061245]
ACMUMtex	[0.46825255981593544]
AACPS9	[0.5426589053918834]
ACOAD1f	[np.float64(0.5681022767471268)]
ADNK1	[0.384895010021628]
ACOAD2f	[np.float64(0.5681022767471268)]
AADDGT	[0.8275523434120884]
ACOAD3f	[np.float64(0.5681022767471268)]
ACOAD4f	[np.float64(0.5681022767471268)]
ADNUC	[0.7433294642960308]
ADNt2pp	[np.float64(0.5681022767471268)]
AAMYL	[np.float64(0.5681022767471268)]
ADNtex	[0.43250476162828444]
ADOCBIK	[0.8566946802076806]
ACOAD5f	[np.float64(0.5681022767471268)]
ACOAD6f	[np.float64(0.5681022767471268)]
ACOAD7f	[np.float64(0.5681022767471268)]
ACOAD8f	[np.float64(0.5681022767471268)]
ADOCBLS	[np.float64(0.5681022767471268)]
ADOCBLabcpp	[0.7623755248798381]
AAMYLpp	[np.float64(0.5681022767471268)]
ADOCBLtonex	[0.5884357338072282]
ADPRDP	[0.46825255981593544]
ADPT	[0.5903997306006974]
ADSK	[0.7433294642960308]
ACOATA	[0.5426589053918834]
ACODA	[0.6955599749102056]
ADSL1r	[0.7648977381105616]
AB6PGH	[0.5898302389061245]
ADSL2r	[0.7648977381105616]
ADSS	[np.float64(0.5681022767471268)]
AGDC	[0.6092352480049612]
ACOLIPAtex	[0.6163645538090758]
ACONIs	[0.6163645538090758]
ACONMT	[np.float64(0.5681022767471268)]
ABTA	[np.float64(0.5681022767471268)]
ACONTa	[np.float64(0.5681022767471268)]
AGM3PA	[np.float64(0.5681022767471268)]
ACONTb	[np.float64(0.5681022767471268)]
AGM3PApp	[np.float64(0.5681022767471268)]
ABTDG	[0.7433294642960308]
AGM3PH	[0.7433294642960308]
ACOTA	[np.float64(0.5681022767471268)]
AGM3Pt2pp	[np.float64(0.5681022767471268)]
ACPS1	[0.9911204724823091]
ABUTD	[np.float64(0.5681022767471268)]
ACS	[0.5397255783066779]
AGM4PA	[np.float64(0.5681022767471268)]
AGM4PApp	[np.float64(0.5681022767471268)]
ACSERtex	[0.46825255981593544]
AGM4PCP	[np.float64(0.5681022767471268)]
ACSERtpp	[0.7433294642960308]
ABUTt2pp	[0.5675479210226793]
ACTD	[0.6863442915238128]
ACTDa	[0.6863442915238128]
AGM4PCPpp	[0.6163645538090758]
AGM4PH	[0.7433294642960308]
AGM4Pt2pp	[np.float64(0.5681022767471268)]
AGMH	[0.7433294642960308]
AGMHE	[np.float64(0.5681022767471268)]
ACt2rpp	[0.6163645538090758]
ACt4pp	[0.7433294642960308]
