reaction	linear_coefficient
EX_cd2_e	0.5681022767471268
3OAR80	0.558180162796001
EX_cbi_e	0.5681022767471268
EX_cbl1_e	0.5681022767471268
2AGPEAT120	0.6889145258016037
2AGPEAT140	0.6889145258016037
3OAS100	0.7910679663691844
12DGR120tipp	0.5681022767471268
2AGPEAT141	0.6889145258016037
3OAS120	0.7910679663691844
2AGPEAT160	0.6889145258016037
2AGPEAT161	0.6889145258016037
2AGPEAT180	0.6889145258016037
12DGR140tipp	0.5681022767471268
2AGPEAT181	0.6889145258016037
3OAS121	0.7910679663691844
2AGPG120tipp	0.6783147408345827
2AGPG140tipp	0.6783147408345827
12DGR141tipp	0.5681022767471268
12DGR160tipp	0.5681022767471268
12DGR161tipp	0.5681022767471268
2AGPG141tipp	0.6783147408345827
12DGR180tipp	0.5681022767471268
3OAS140	0.7910679663691844
12DGR181tipp	0.5681022767471268
2AGPG160tipp	0.6783147408345827
3OAS141	0.7910679663691844
2AGPG161tipp	0.6783147408345827
2AGPG180tipp	0.6783147408345827
2AGPG181tipp	0.6783147408345827
2AGPGAT120	0.6889145258016037
2AGPGAT140	0.6889145258016037
2AGPGAT141	0.6889145258016037
2AGPGAT160	0.6889145258016037
2AGPGAT161	0.6889145258016037
2AGPGAT180	0.6889145258016037
3OAS160	0.7910679663691844
2AGPGAT181	0.6889145258016037
3OAS161	0.7910679663691844
3OAS180	0.7910679663691844
3OAS181	0.5147081125123965
3OAS60	0.7910679663691844
3OAS80	0.7910679663691844
3OXCOAT	0.6829730737901808
3PEPTabcpp	0.6454200167455293
12PPDt	0.6656172616852414
3PEPTtex	0.7433294642960308
2DGLCNRx	0.5321990496964556
2DGLCNRy	0.5321990496964556
13PPDH	0.6872254052496486
2DGULRx	0.5321990496964556
3UMPtex	0.7433294642960308
2DGULRy	0.5321990496964556
13PPDtex	0.5681022767471268
13PPDtpp	0.5681022767471268
42A12BOOXpp	0.5547506558668611
14GLUCANabcpp	0.707030344465155
4HOXPACDtex	0.7433294642960308
14GLUCANtexi	0.5896591211121834
23CAMPtex	0.7433294642960308
23CCMPtex	0.7433294642960308
23CGMPtex	0.7433294642960308
23CUMPtex	0.7433294642960308
23DAPPAt2pp	0.5681022767471268
2INSD	0.511320627209661
2MAHMP	0.5374592258255328
4HTHRS	0.6382190279380762
34dhpactex	0.7433294642960308
3AMPtex	0.7433294642960308
23DAPPAtex	0.7433294642960308
23PDE2pp	0.6633257275098615
23PDE4pp	0.6633257275098615
3CMPtex	0.7433294642960308
23PDE7pp	0.6633257275098615
4PCP	0.6598571211351061
23PDE9pp	0.6633257275098615
3GMPtex	0.7433294642960308
3HAD100	0.5175991659329562
3HAD120	0.5175991659329562
4PCPpp	0.5681022767471268
3HAD121	0.5175991659329562
26DAHtex	0.7433294642960308
2AGPA120tipp	0.6783147408345827
2AGPA140tipp	0.6783147408345827
3HAD140	0.5175991659329562
3HAD141	0.5175991659329562
3HAD160	0.5175991659329562
2AGPA141tipp	0.6783147408345827
2AGPA160tipp	0.6783147408345827
2AGPA161tipp	0.6783147408345827
2AGPA180tipp	0.6783147408345827
2AGPA181tipp	0.6783147408345827
3HAD161	0.5175991659329562
2AGPE120tipp	0.6783147408345827
3HAD180	0.5175991659329562
4PEPTabcpp	0.6156379903127354
3HAD181	0.5175991659329562
2AGPE140tipp	0.6783147408345827
2AGPE141tipp	0.6783147408345827
3HAD40	0.5175991659329562
2AGPE160tipp	0.6783147408345827
3HAD60	0.5175991659329562
4PEPTtex	0.7433294642960308
3HAD80	0.5175991659329562
2AGPE161tipp	0.6783147408345827
2AGPE180tipp	0.6783147408345827
3HCINNMH	0.49459862106499675
5DGLCNtex	0.7433294642960308
3HPPPNH	0.49459862106499675
2AGPE181tipp	0.6783147408345827
