source_node,target_node
ALAALAabcpp,dppF
ALAALAabcpp,dppA
ALAALAabcpp,dppB
ALAALAabcpp,dppC
ALAALAabcpp,dppD
CGLYabcpp,dppF
CGLYabcpp,dppA
CGLYabcpp,dppB
CGLYabcpp,dppC
CGLYabcpp,dppD
PROGLYabcpp,dppF
PROGLYabcpp,dppA
PROGLYabcpp,dppB
PROGLYabcpp,dppC
PROGLYabcpp,dppD
MMSAD3,KPN_04670
D5KGK,KPN_04673
DKDID,KPN_04671
DKDID,KPN_04674
SDPTA,KPN_01493
SDPTA,argD
SDPTA,argD
SOTA,KPN_01493
SOTA,argD
SOTA,argD
ACOTA,KPN_01493
ACOTA,argD
ACOTA,argD
SUCptspp,KPN_00514
LYSDC,ldcC
LYSDC,cadA
URCN,KPN_00795
AST,astA
AST,KPN_01494
2INSD,KPN_04677
INS2D,KPN_04675
INS2D,KPN_00507
GLYCL,gcvP
GLYCL,gcvH
GLYCL,lpdA
GLYCL,gcvT
IZPN,hutI
SERt2rpp,sdaC
SERt2rpp,tdcC
L_LACD3,lldD
L_LACD2,lldD
FDH5pp_1,fdnG
FDH5pp_1,fdnI
FDH5pp_1,fdoH
FDH5pp_1,fdoG
FDH5pp_1,fdoI
FDH5pp_1,fdnH
FDH4pp_1,fdnG
FDH4pp_1,fdnI
FDH4pp_1,fdoH
FDH4pp_1,fdoG
FDH4pp_1,fdoI
FDH4pp_1,fdnH
GLCURt2rpp,exuT
GALURt2rpp,exuT
SBTptspp,srlB
SBTptspp,srlA
SBTptspp,ptsH
SBTptspp,ptsI
SBTptspp,srlE
SUCRtex,KPN_00515
SSALx,KPN_04772
SSALx,gabD
SSALy,KPN_04772
SSALy,gabD
OXPTNDH,KPN_04772
OXPTNDH,gabD
CADVtpp,cadB
HISDr,hutH
LYSTRS,lysS
LYSTRS,lysS
SADH,KPN_01496
SADH,astB
GGGABADr,KPN_01018
ALDD2x,KPN_01018
GLUt4pp,gltS
FGLU,hutG
ilvE,VALTA
ilvE,PHETA1
ilvE,ILETA
ilvE,LEUTAi
ilvC,KARA2
ilvC,DPR
ilvC,KARA1
talC,F6PA
leuA,IPPS
KPN_03016,IPPS
fabH,KAS15
fabH,ACOATA
ilvD,DHAD1
ilvD,DHAD2
gltP,GLUt2rpp
gltP,ASPt2pp
putP,PPAt4pp
putP,PROt4pp
leuD,IPPMIa
leuD,IPPMIb
leuC,IPPMIa
leuC,IPPMIb
gdhA,GLUDy
gdhA,GLUDxi
KPN_01492,GLUDy
KPN_01492,GLUDxi
ompC,PROGLYtex
ompC,ACALDtex
ompC,BUTSO3tex
ompC,GLYALDtex
ompC,TYMtex
ompC,CD2tex
ompC,CYStex
ompC,SO3tex
ompC,SPMDtex
ompC,23CUMPtex
ompC,G1Ptex
ompC,L_LACtex
ompC,ASCBtex
ompC,UDPGLCURtex
ompC,5DGLCNtex
ompC,DAPtex
ompC,H2Otex
