nodes,colour,shape,outline
THMDtex,ep,rect,no
CHLtex,ep,rect,no
XYLUtex,ep,rect,no
XMPtex,ep,rect,no
DPR,c,rect,no
CO2tex,ep,rect,no
ALAtex,ep,rect,no
OXPTNDH,c,rect,no
DHAD1,c,rect,bold
GALtex,ep,rect,no
26DAHtex,ep,rect,no
VALtex,ep,rect,bold
MNtex,ep,rect,no
GLUDy,c,rect,no
ACtex,ep,rect,no
HPPPNtex,ep,rect,no
CYTDtex,ep,rect,no
PROGLYtex,ep,rect,no
MALtex,ep,rect,no
ALAALAabcpp,cp,rect,no
SBTtex,ep,rect,no
DGSNtex,ep,rect,no
IDONtex,ep,rect,no
TCYNTtex,ep,rect,no
GLYCL,c,rect,no
CYNTtex,ep,rect,no
CYSDtex,ep,rect,no
H2O2tex,ep,rect,no
ETHSO3tex,ep,rect,no
ASO3tex,ep,rect,no
NO2tex,ep,rect,no
CLtex,ep,rect,no
G1Ptex,ep,rect,no
VALTA,c,rect,bold
METSOX2tex,ep,rect,no
TYRPtex,ep,rect,no
PItex,ep,rect,no
SKMtex,ep,rect,no
GLUt4pp,cp,rect,bold
GLYC2Ptex,ep,rect,no
KARA2,c,rect,no
SUCRtex,ep,rect,no
PSCLYStex,ep,rect,no
PSERtex,ep,rect,no
SOTA,c,rect,no
R5Ptex,ep,rect,no
ACGALtex,ep,rect,no
TYRtex,ep,rect,no
FGLU,c,rect,no
SERt2rpp,cp,rect,no
NOtex,ep,rect,no
NO3tex,ep,rect,no
TSULtex,ep,rect,no
SADH,c,rect,no
4HOXPACDtex,ep,rect,no
FE3tex,ep,rect,no
G3PEtex,ep,rect,no
GLNtex,ep,rect,no
D_LACtex,ep,rect,no
PROtex,ep,rect,no
ACOATA,c,rect,no
SO2tex,ep,rect,no
G3PItex,ep,rect,no
XTSNtex,ep,rect,no
FUCtex,ep,rect,no
GALTtex,ep,rect,no
FDH4pp_1,cp,rect,no
DHAD2,c,rect,no
G3PGtex,ep,rect,no
3PEPTtex,ep,rect,no
GLCURt2rpp,cp,rect,no
F6Ptex,ep,rect,no
XYLtex,ep,rect,no
MG2tex,ep,rect,no
G6Ptex,ep,rect,no
ilvg,c,rect,no
UDPGALtex,ep,rect,no
CGLYabcpp,cp,rect,no
GALBDtex,ep,rect,no
ABUTtex,ep,rect,no
TUNGStex,ep,rect,no
GLYCAtex,ep,rect,no
IPPMIa,c,rect,bold
DTMPtex,ep,rect,no
METSOX1tex,ep,rect,no
COBALT2tex,ep,rect,no
34dhpactex,ep,rect,no
PTRCtex,ep,rect,no
MNLtex,ep,rect,no
PPAtex,ep,rect,no
GLUDxi,c,rect,bold
CYStex,ep,rect,no
DCMPtex,ep,rect,no
HG2tex,ep,rect,no
IMPtex,ep,rect,no
23CUMPtex,ep,rect,no
ACHBS,c,rect,no
DSERtex,ep,rect,no
N2Otex,ep,rect,no
ASNtex,ep,rect,no
NH4tex,ep,rect,no
3CMPtex,ep,rect,no
TRPtex,ep,rect,no
SSALx,c,rect,no
HOMtex,ep,rect,no
TRPTA,c,rect,no
RMNtex,ep,rect,no
3UMPtex,ep,rect,no
GLCUR1Ptex,ep,rect,no
PPAt4pp,cp,rect,no
XANtex,ep,rect,no
CYANtex,ep,rect,no
CADVtpp,cp,rect,no
RNTR4c,c,rect,no
UACGAMtex,ep,rect,no
UDPACGALtex,ep,rect,no
UDPGLCURtex,ep,rect,no
IPMD,c,rect,bold
CMPtex,ep,rect,no
SSALy,c,rect,no
GALCTNtex,ep,rect,no
SULFACtex,ep,rect,no
ILEt2rpp,cp,rect,no
GLCRtex,ep,rect,no
MANGLYCtex,ep,rect,no
AMPtex,ep,rect,no
GLUtex,ep,rect,no
ADEtex,ep,rect,no
OMCDC,c,rect,bold
BUTSO3tex,ep,rect,no
TMAtex,ep,rect,no
CD2tex,ep,rect,no
TARTRtex,ep,rect,no
TAURtex,ep,rect,no
FALDtex,ep,rect,no
URAt2pp_copy2,cp,rect,bold
ALAALAtex,ep,rect,no
INSTtex,ep,rect,no
LEUtex,ep,rect,no
SUCCtex,ep,rect,no
ALAt4pp,cp,rect,no
OCTAtex,ep,rect,no
23CGMPtex,ep,rect,no
FLDR,c,rect,no
GMPtex,ep,rect,no
4PEPTtex,ep,rect,no
MMETtex,ep,rect,no
DHAPT,c,rect,bold
GLYC3Ptex,ep,rect,no
DALAtex,ep,rect,no
LCTStex,ep,rect,no
HIStex,ep,rect,no
ACGAL1Ptex,ep,rect,no
CUtex,ep,rect,no
RNTR3c,c,rect,bold
FE2tex,ep,rect,no
SDPTA,c,rect,no
FDH5pp_1,cp,rect,no
OROTtex,ep,rect,no
ALLtex,ep,rect,no
GLYCLTtex,ep,rect,no
INDOLEtex,ep,rect,no
GLYCtex,ep,rect,no
DUMPtex,ep,rect,no
ACGAtex,ep,rect,no
H2Otex,ep,rect,no
H2tex,ep,rect,no
GLCNtex,ep,rect,no
MELIBtex,ep,rect,no
DMSOtex,ep,rect,no
5DGLCNtex,ep,rect,no
CA2tex,ep,rect,no
VALt2rpp,cp,rect,bold
TMAOtex,ep,rect,no
GGGABADr,c,rect,no
MOBDtex,ep,rect,no
GAL1Ptex,ep,rect,no
ARBtex,ep,rect,no
RNTR2c,c,rect,bold
CRNtex,ep,rect,no
DAPtex,ep,rect,no
NMNtex,ep,rect,no
GTPtex,ep,rect,no
ASCBtex,ep,rect,no
ASPt2pp,cp,rect,no
23CAMPtex,ep,rect,no
GAMtex,ep,rect,no
GLYBtex,ep,rect,no
ETOHtex,ep,rect,no
PROGLYabcpp,cp,rect,no
HISDr,c,rect,no
BUTtex,ep,rect,no
SPMDtex,ep,rect,no
TYRTA,c,rect,no
CGLYtex,ep,rect,no
IPPS,c,rect,bold
FRULYStex,ep,rect,no
PYRtex,ep,rect,no
Ktex,ep,rect,no
IPPMIb,c,rect,bold
ETHAtex,ep,rect,no
GALURtex,ep,rect,no
DHAtex,ep,rect,no
GTHOXtex,ep,rect,no
MMSAD3,c,rect,no
THYMtex,ep,rect,no
INS2D,c,rect,no
PNTOtex,ep,rect,no
FORtex,ep,rect,no
DOPAtex,ep,rect,no
LYXtex,ep,rect,no
HXAtex,ep,rect,no
IZPN,c,rect,no
F6PA,c,rect,bold
CU2tex,ep,rect,no
GALCTNLtex,ep,rect,no
ILETA,c,rect,no
CSNtex,ep,rect,no
GLYt4pp,cp,rect,bold
L_LACD3,c,rect,no
MALDtex,ep,rect,no
GAMAN6Ptex,ep,rect,no
AKGtex,ep,rect,no
SO4tex,ep,rect,no
O2Stex,ep,rect,no
O2tex,ep,rect,no
ANHGMtex,ep,rect,no
FRUURtex,ep,rect,no
KARA1,c,rect,bold
ACGAM1Ptex,ep,rect,no
23DAPPAtex,ep,rect,no
GDPtex,ep,rect,no
GLUt2rpp,cp,rect,bold
LEUt2rpp,cp,rect,no
RIBtex,ep,rect,no
DINStex,ep,rect,no
3AMPtex,ep,rect,no
2INSD,c,rect,no
SBTptspp,cp,rect,no
D5KGK,c,rect,no
DMStex,ep,rect,no
LYSDC,c,rect,no
METDtex,ep,rect,no
GLYtex,ep,rect,no
LEUTAi,c,rect,bold
PHETA1,c,rect,no
NI2tex,ep,rect,no
ASPtex,ep,rect,no
PPPNtex,ep,rect,no
KAS15,c,rect,bold
GTHRDtex,ep,rect,no
GLYALDtex,ep,rect,no
ARGtex,ep,rect,no
UREAtex,ep,rect,no
UDPGtex,ep,rect,no
GSNtex,ep,rect,no
DCAtex,ep,rect,no
THRPtex,ep,rect,no
PHEtex,ep,rect,no
G3PCtex,ep,rect,no
THRtex,ep,rect,no
AST,c,rect,no
NACtex,ep,rect,no
PACALDtex,ep,rect,no
Htex,ep,rect,no
DIMPtex,ep,rect,no
RNTR1c,c,rect,no
L_LACD2,c,rect,no
MAN6Ptex,ep,rect,no
ORNtex,ep,rect,no
TYMtex,ep,rect,no
ARAT,c,rect,no
ACOTA,c,rect,no
UMPtex,ep,rect,no
ACALDtex,ep,rect,no
BALAtex,ep,rect,no
URCN,c,rect,no
MANtex,ep,rect,no
SERtex,ep,rect,no
NAtex,ep,rect,no
ACSERtex,ep,rect,no
AGMtex,ep,rect,no
METtex,ep,rect,no
GALCTtex,ep,rect,no
HYXNtex,ep,rect,no
H2Stex,ep,rect,no
FUMtex,ep,rect,no
ACMUMtex,ep,rect,no
LYSTRS,c,rect,no
SUCptspp,cp,rect,no
PPTtex,ep,rect,no
GLCURtex,ep,rect,no
THMtex,ep,rect,no
PEAMNtex,ep,rect,no
Zn2tex,ep,rect,no
ILEtex,ep,rect,no
SO3tex,ep,rect,no
G3PStex,ep,rect,no
23CCMPtex,ep,rect,no
ACLS,c,rect,bold
ISETACtex,ep,rect,no
L_LACtex,ep,rect,no
GALURt2rpp,cp,rect,no
DKDID,c,rect,no
URAtex,ep,rect,bold
PPALtex,ep,rect,no
DAMPtex,ep,rect,no
LYStex,ep,rect,no
MSO3tex,ep,rect,no
FRUtex,ep,rect,no
TREtex,ep,rect,no
3GMPtex,ep,rect,no
DDGLCNtex,ep,rect,no
PROt4pp,cp,rect,bold
HCINNMtex,ep,rect,no
ALDD2x,c,rect,no
GLCtex_copy1,ep,rect,no
ACMANAtex,ep,rect,no
DGMPtex,ep,rect,no
gcvP,gene,circ,bold
gltS,gene,circ,bold
ompN,gene,circ,no
brnQ,gene,circ,no
ilvM,gene,circ,no
KPN_04677,gene,circ,bold
nrdD,gene,circ,no
fldB,gene,circ,no
dppB,gene,circ,no
ilvI,gene,circ,no
fdoG,gene,circ,no
talC,gene,circ,no
KPN_04675,gene,circ,bold
ilvN,gene,circ,no
KPN_01496,gene,circ,bold
KPN_03016,gene,circ,no
phoE,gene,circ,no
ompF,gene,circ,no
srlA,gene,circ,bold
putP,gene,circ,no
cadA,gene,circ,bold
fdoI,gene,circ,bold
dppA,gene,circ,no
ptsH,gene,circ,no
leuB,gene,circ,no
gdhA,gene,circ,no
dhaL,gene,circ,no
KPN_04674,gene,circ,bold
fpr,gene,circ,no
hutG,gene,circ,bold
KPN_02430,gene,circ,no
ilvG,gene,circ,no
dhaK,gene,circ,no
dhaM,gene,circ,no
srlB,gene,circ,bold
KPN_01493,gene,circ,bold
ilvB,gene,circ,no
fdnI,gene,circ,no
KPN_04671,gene,circ,bold
lysS,gene,circ,bold
fldA,gene,circ,no
lysS,gene,circ,no
astB,gene,circ,no
gltP,gene,circ,no
ilvH,gene,circ,no
KPN_00515,gene,circ,bold
yaaJ,gene,circ,no
cadB,gene,circ,bold
KPN_01018,gene,circ,bold
sdaC,gene,circ,bold
KPN_04670,gene,circ,bold
gabD,gene,circ,no
KPN_01492,gene,circ,no
KPN_01494,gene,circ,bold
ptsI,gene,circ,no
fdnH,gene,circ,no
ompC,gene,circ,no
tyrB,gene,circ,no
dppF,gene,circ,no
srlE,gene,circ,no
fabH,gene,circ,no
KPN_00507,gene,circ,no
KPN_04673,gene,circ,bold
leuC,gene,circ,no
KPN_00795,gene,circ,bold
argD,gene,circ,no
lpdA,gene,circ,no
KPN_00514,gene,circ,bold
tdcC,gene,circ,no
argD,gene,circ,no
ilvD,gene,circ,no
leuD,gene,circ,no
nrdG,gene,circ,no
KPN_01365,gene,circ,no
ilvE,gene,circ,no
fdoH,gene,circ,bold
hutH,gene,circ,bold
lldD,gene,circ,bold
dppD,gene,circ,no
ldcC,gene,circ,no
hutI,gene,circ,bold
leuA,gene,circ,no
gcvT,gene,circ,bold
gcvH,gene,circ,bold
dppC,gene,circ,bold
exuT,gene,circ,bold
fdnG,gene,circ,no
ilvC,gene,circ,no
ycdG,gene,circ,no
KPN_04772,gene,circ,bold
astA,gene,circ,no
