reaction	linear_coefficient
EX_cd2_e	[0.011996981791048779]
3OAR80	[0.00320999128070663]
EX_cbi_e	[0.011996981791048779]
EX_cbl1_e	[0.011996981791048779]
2AGPEAT120	[0.0096521892934977]
2AGPEAT140	[0.0096521892934977]
3OAS100	[0.0033016349418232764]
12DGR120tipp	[0.011996981791048779]
2AGPEAT141	[0.0096521892934977]
3OAS120	[0.0033016349418232764]
2AGPEAT160	[0.0096521892934977]
2AGPEAT161	[0.0096521892934977]
2AGPEAT180	[0.0096521892934977]
12DGR140tipp	[0.011996981791048779]
2AGPEAT181	[0.0096521892934977]
3OAS121	[0.0033016349418232764]
2AGPG120tipp	[0.037374032531598024]
2AGPG140tipp	[0.037374032531598024]
12DGR141tipp	[0.011996981791048779]
12DGR160tipp	[0.011996981791048779]
12DGR161tipp	[0.011996981791048779]
2AGPG141tipp	[0.037374032531598024]
12DGR180tipp	[0.011996981791048779]
3OAS140	[0.0033016349418232764]
12DGR181tipp	[0.011996981791048779]
2AGPG160tipp	[0.037374032531598024]
3OAS141	[0.0033016349418232764]
2AGPG161tipp	[0.037374032531598024]
2AGPG180tipp	[0.037374032531598024]
2AGPG181tipp	[0.037374032531598024]
2AGPGAT120	[0.0096521892934977]
2AGPGAT140	[0.0096521892934977]
2AGPGAT141	[0.0096521892934977]
2AGPGAT160	[0.0096521892934977]
2AGPGAT161	[0.0096521892934977]
2AGPGAT180	[0.0096521892934977]
3OAS160	[0.0033016349418232764]
2AGPGAT181	[0.0096521892934977]
3OAS161	[0.0033016349418232764]
3OAS180	[0.0033016349418232764]
3OAS181	[np.float64(0.0037751224030668573)]
3OAS60	[0.0033016349418232764]
3OAS80	[0.0033016349418232764]
3OXCOAT	[0.006545502652180795]
3PEPTabcpp	[np.float64(0.0037751224030668573)]
12PPDt	[0.36418663102955834]
3PEPTtex	[0.00044489429360646855]
2DGLCNRx	[0.006693470545510929]
2DGLCNRy	[0.006693470545510929]
13PPDH	[0.36418663102955834]
2DGULRx	[0.006693470545510929]
