reaction	linear_coefficient
EX_cd2_e	0.0037751224030668573
3OAR80	0.038733187685561714
EX_cbi_e	0.0037751224030668573
EX_cbl1_e	0.0037751224030668573
2AGPEAT120	0.004720293090059658
2AGPEAT140	0.004720293090059658
3OAS100	0.03865134692277772
12DGR120tipp	0.0037751224030668573
2AGPEAT141	0.004720293090059658
3OAS120	0.03865134692277772
2AGPEAT160	0.004720293090059658
2AGPEAT161	0.004720293090059658
2AGPEAT180	0.004720293090059658
12DGR140tipp	0.0037751224030668573
2AGPEAT181	0.004720293090059658
3OAS121	0.03865134692277772
2AGPG120tipp	0.0034570894407536436
2AGPG140tipp	0.0034570894407536436
12DGR141tipp	0.0037751224030668573
12DGR160tipp	0.0037751224030668573
12DGR161tipp	0.0037751224030668573
2AGPG141tipp	0.0034570894407536436
12DGR180tipp	0.0037751224030668573
3OAS140	0.03865134692277772
12DGR181tipp	0.0037751224030668573
2AGPG160tipp	0.0034570894407536436
3OAS141	0.03865134692277772
2AGPG161tipp	0.0034570894407536436
2AGPG180tipp	0.0034570894407536436
2AGPG181tipp	0.0034570894407536436
2AGPGAT120	0.004720293090059658
2AGPGAT140	0.004720293090059658
2AGPGAT141	0.004720293090059658
2AGPGAT160	0.004720293090059658
2AGPGAT161	0.004720293090059658
2AGPGAT180	0.004720293090059658
3OAS160	0.03865134692277772
2AGPGAT181	0.004720293090059658
3OAS161	0.03865134692277772
3OAS180	0.03865134692277772
3OAS181	0.027626453160205792
3OAS60	0.03865134692277772
3OAS80	0.03865134692277772
3OXCOAT	0.007699933065032731
3PEPTabcpp	0.027343887634365675
12PPDt	0.0015871781462744223
3PEPTtex	0.36418663102955834
2DGLCNRx	0.0074693704081509075
2DGLCNRy	0.0074693704081509075
13PPDH	0.0008404092474649917
2DGULRx	0.0074693704081509075
3UMPtex	0.36418663102955834
2DGULRy	0.0074693704081509075
13PPDtex	0.0037751224030668573
13PPDtpp	0.0037751224030668573
42A12BOOXpp	0.006901591232294102
14GLUCANabcpp	0.002527615240887052
4HOXPACDtex	0.36418663102955834
14GLUCANtexi	0.0012448115985641648
23CAMPtex	0.36418663102955834
23CCMPtex	0.36418663102955834
23CGMPtex	0.36418663102955834
23CUMPtex	0.36418663102955834
23DAPPAt2pp	0.0037751224030668573
2INSD	0.004490157824587674
2MAHMP	0.009859676475071234
4HTHRS	0.005060654445632975
34dhpactex	0.36418663102955834
3AMPtex	0.36418663102955834
23DAPPAtex	0.36418663102955834
23PDE2pp	0.011999290531673496
23PDE4pp	0.011999290531673496
3CMPtex	0.36418663102955834
23PDE7pp	0.011999290531673496
4PCP	0.007846766935129852
23PDE9pp	0.011999290531673496
3GMPtex	0.36418663102955834
3HAD100	0.02970514389530742
3HAD120	0.02970514389530742
4PCPpp	0.0037751224030668573
3HAD121	0.02970514389530742
26DAHtex	0.36418663102955834
2AGPA120tipp	0.0034570894407536436
2AGPA140tipp	0.0034570894407536436
3HAD140	0.02970514389530742
3HAD141	0.02970514389530742
3HAD160	0.02970514389530742
2AGPA141tipp	0.0034570894407536436
2AGPA160tipp	0.0034570894407536436
2AGPA161tipp	0.0034570894407536436
2AGPA180tipp	0.0034570894407536436
2AGPA181tipp	0.0034570894407536436
3HAD161	0.02970514389530742
2AGPE120tipp	0.0034570894407536436
3HAD180	0.02970514389530742
4PEPTabcpp	0.07647701923409908
3HAD181	0.02970514389530742
2AGPE140tipp	0.0034570894407536436
2AGPE141tipp	0.0034570894407536436
3HAD40	0.02970514389530742
2AGPE160tipp	0.0034570894407536436
3HAD60	0.02970514389530742
4PEPTtex	0.36418663102955834
3HAD80	0.02970514389530742
2AGPE161tipp	0.0034570894407536436
2AGPE180tipp	0.0034570894407536436
3HCINNMH	0.0004065672287604945
5DGLCNtex	0.36418663102955834
3HPPPNH	0.0004065672287604945
2AGPE181tipp	0.0034570894407536436
3NTD2pp	0.011999290531673496
5DOAN	0.03439688867873218
3NTD4pp	0.011999290531673496
3NTD7pp	0.011999290531673496
3NTD9pp	0.011999290531673496
ACGALtex	0.36418663102955834
ACGAM1Ptex	0.36418663102955834
A5PISO	0.007171968880619395
ACGAMK	0.006708629121133383
ACGAMT	0.0036336825920949287
AACPS1	0.3698660109855745
ACGAptspp	0.11585181299577449
AACPS2	0.3698660109855745
ACGAtex	0.36418663102955834
AACPS3	0.3698660109855745
ACGK	0.0026804645895647473
ACGS	0.0012507925573063655
AACPS4	0.3698660109855745
ACHBS	0.011253947229232591
ACKr	0.01608367723766005
3OADPCOAT	0.007990752224301243
AACPS5	0.3698660109855745
3OAR100	0.038733187685561714
AACPS6	0.3698660109855745
3OAR120	0.038733187685561714
AACPS7	0.3698660109855745
3OAR121	0.038733187685561714
3OAR140	0.038733187685561714
ACLDC	0.0005165545056378005
ACLS	0.011253947229232591
3OAR141	0.038733187685561714
ACLS_a	0.0037751224030668573
AACPS8	0.3698660109855745
ACMAMUT	0.001089128088423409
ACMANAptspp	0.11585181299577449
ACMANAtex	0.36418663102955834
3OAR160	0.038733187685561714
3OAR161	0.038733187685561714
3OAR180	0.038733187685561714
3OAR181	0.038733187685561714
3OAR40	0.038733187685561714
3OAR60	0.038733187685561714
ACMUMptspp	0.11585181299577449
ACMUMtex	0.36418663102955834
AACPS9	0.3698660109855745
ACOAD1f	0.030483084970036742
ADNK1	0.008663020730684312
ACOAD2f	0.030483084970036742
AADDGT	0.0008786679840295714
ACOAD3f	0.030483084970036742
ACOAD4f	0.030483084970036742
ADNUC	0.00962714659065081
ADNt2pp	0.007711135875088314
AAMYL	0.004884198779313897
ADNtex	0.00808817434604795
ADOCBIK	0.001775476663687396
ACOAD5f	0.030483084970036742
ACOAD6f	0.030483084970036742
ACOAD7f	0.030483084970036742
ACOAD8f	0.030483084970036742
ADOCBLS	0.002102102705752895
ADOCBLabcpp	0.00923973597760945
AAMYLpp	0.0009192969409869997
ADOCBLtonex	0.027992236299182554
ADPRDP	0.013960065671006985
ADPT	0.003595474657696595
ADSK	0.001241382137933682
ACOATA	0.3698660109855745
ACODA	0.005997914095880187
ADSL1r	0.009841259645065324
AB6PGH	0.0071025192866629476
ADSL2r	0.009841259645065324
ADSS	0.09395269381107278
AGDC	0.006545502652180795
ACOLIPAtex	0.0037751224030668573
ACONIs	0.0037751224030668573
ACONMT	0.0025939636499827
ABTA	0.032221614394632156
ACONTa	0.09106253595232988
AGM3PA	0.010453318511648942
ACONTb	0.09106253595232988
AGM3PApp	0.022539714945854203
ABTDG	0.00044489429360646855
AGM3PH	0.003981041192887043
ACOTA	0.07553601404654282
AGM3Pt2pp	0.007420551076133361
ACPS1	0.0016927815179676026
ABUTD	0.00471401638110814
ACS	0.10525798656090193
AGM4PA	0.010453318511648942
AGM4PApp	0.022539714945854203
ACSERtex	0.36418663102955834
AGM4PCP	0.007846766935129852
ACSERtpp	0.00314554728475137
ABUTt2pp	0.009672079981956818
ACTD	0.0007566399988009552
ACTDa	0.0007566399988009552
AGM4PCPpp	0.0037751224030668573
AGM4PH	0.003981041192887043
AGM4Pt2pp	0.007420551076133361
AGMH	0.003981041192887043
AGMHE	0.033608508890779085
ACt2rpp	0.0037751224030668573
ACt4pp	0.0041294964021968
ACtex	0.36418663102955834
ADA	0.04595210020179152
ABUTtex	0.36418663102955834
ADCL	0.003575362961587932
ACACT1r	0.007699933065032731
AGMPTRCtpp	0.0010781325271207083
ACALD	0.020753869331056128
ACALDtex	0.36418663102955834
AGMT	0.007422358889559693
AGMt2pp	0.007420551076133361
ADCPS1	0.0023155088553524204
ACALDtpp	0.0037751224030668573
ADCS	0.004470752961793577
AGMtex	0.36418663102955834
AGPAT120	0.013064027384485052
AGPAT140	0.013064027384485052
ACANTHAT	0.005199214315480077
ACBIPGT	0.001775476663687396
ACCOAC	0.023715359567706443
ACGAL1Ptex	0.36418663102955834
ADNCYC	0.03861985669705781
ADCYRS	0.0018882427714871136
ADD	0.0007468250995996866
AGPAT141	0.013064027384485052
ALAtex	0.36418663102955834
AGPAT160	0.013064027384485052
AGPAT161	0.013064027384485052
AGPAT180	0.013064027384485052
AGPAT181	0.013064027384485052
AGPR	0.0012624750270104695
AGt3	0.0004824089513364552
ADEt2rpp	0.0015758838932872915
ADEtex	0.36418663102955834
ADK1	0.008663020730684312
ADK3	0.008663020730684312
ADK4	0.008663020730684312
ADMDC	0.0059078810690563
ARGt3pp	0.0011292169367704268
ARGtex	0.36418663102955834
AHCi	0.014093081164391567
AHCYSNS	0.007226076726512024
