# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "transcript" "-a" "../KPN MGH 78578_genome.gtf" "-o" "reads_annotate/SRR1720515_annotate.tsv" "bam_merge_paired/SRR1720515_merge_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_merge_paired/SRR1720515_merge_sort.bam
gene-KPN_00001	CP000647.1	190	258	+	69	32
gene-KPN_00002	CP000647.1	340	2802	+	2463	119
gene-KPN_00003	CP000647.1	2804	3733	+	930	177
gene-KPN_00004	CP000647.1	3737	5017	+	1281	104
gene-KPN_00005	CP000647.1	5354	5710	+	357	7
gene-KPN_00006	CP000647.1	5779	6552	-	774	152
gene-KPN_00007	CP000647.1	6630	8012	-	1383	72
gene-KPN_00008	CP000647.1	8263	9216	+	954	3412
gene-KPN_00009	CP000647.1	9316	9903	+	588	408
gene-KPN_00010	CP000647.1	10023	11327	+	1305	181
gene-KPN_00011	CP000647.1	11390	11956	-	567	163
gene-KPN_00012	CP000647.1	12045	12794	-	750	38
gene-KPN_00013	CP000647.1	12822	13226	-	405	6
gene-KPN_00014	CP000647.1	13612	15528	+	1917	12530
gene-KPN_00015	CP000647.1	15616	16749	+	1134	687
gene-KPN_00016	CP000647.1	16915	18102	+	1188	77
gene-KPN_00017	CP000647.1	18157	19053	+	897	736
gene-KPN_00018	CP000647.1	19173	19358	-	186	678
gene-KPN_00020	CP000647.1	19766	20704	+	939	238
gene-KPN_00021	CP000647.1	20796	23564	+	2769	3304
gene-KPN_00022	CP000647.1	23564	24064	+	501	943
gene-KPN_00023	CP000647.1	24180	24629	+	450	385
gene-KPN_00024	CP000647.1	24631	25581	+	951	343
gene-KPN_00025	CP000647.1	25648	26562	+	915	85
gene-KPN_00026	CP000647.1	26578	26847	-	270	27
gene-KPN_00027	CP000647.1	26906	27835	-	930	28
gene-KPN_00028	CP000647.1	28563	29276	-	714	11
gene-KPN_00029	CP000647.1	29260	30888	-	1629	0
gene-KPN_00030	CP000647.1	31060	32361	-	1302	7
gene-KPN_00031	CP000647.1	32377	34143	-	1767	0
gene-KPN_00032	CP000647.1	34159	34410	-	252	0
gene-KPN_00033	CP000647.1	34566	35897	-	1332	0
gene-KPN_00034	CP000647.1	36163	37191	+	1029	0
gene-KPN_00035	CP000647.1	37222	37515	+	294	0
gene-KPN_00036	CP000647.1	37512	38381	+	870	0
gene-KPN_00037	CP000647.1	38410	39918	+	1509	0
gene-KPN_00038	CP000647.1	39937	40845	+	909	0
gene-KPN_00039	CP000647.1	41074	41895	+	822	243
gene-KPN_00040	CP000647.1	42326	43501	+	1176	88
gene-KPN_00041	CP000647.1	43661	46885	+	3225	473
gene-KPN_00042	CP000647.1	47055	47288	+	234	95
gene-KPN_00043	CP000647.1	47477	47953	+	477	146
gene-KPN_00044	CP000647.1	47946	49811	+	1866	898
gene-KPN_00045	CP000647.1	49985	50464	+	480	611
gene-KPN_00046	CP000647.1	50717	51565	-	849	225
gene-KPN_00047	CP000647.1	51570	51929	-	360	396
gene-KPN_00048	CP000647.1	51950	52771	-	822	326
gene-KPN_00049	CP000647.1	52768	53757	-	990	317
gene-KPN_00050	CP000647.1	53763	55049	-	1287	3668
gene-KPN_00051	CP000647.1	55104	57452	-	2349	2409
gene-KPN_00052	CP000647.1	57696	58523	+	828	275
gene-KPN_00053	CP000647.1	58556	59254	-	699	523
gene-KPN_00054	CP000647.1	59244	60869	-	1626	253
gene-KPN_00055	CP000647.1	61194	62558	+	1365	4286
gene-KPN_00056	CP000647.1	62738	63277	+	540	378
gene-KPN_00057	CP000647.1	63352	64011	-	660	280
gene-KPN_00058	CP000647.1	64024	66930	-	2907	651
gene-KPN_00059	CP000647.1	67118	69475	-	2358	287
gene-KPN_00060	CP000647.1	69651	70346	-	696	5
gene-KPN_00061	CP000647.1	70484	71986	-	1503	32
gene-KPN_00062	CP000647.1	71997	73706	-	1710	9
gene-KPN_00063	CP000647.1	74044	74889	+	846	483
gene-KPN_00064	CP000647.1	75018	75785	+	768	165
gene-KPN_00065	CP000647.1	75772	76473	-	702	17
gene-KPN_00066	CP000647.1	76457	78067	-	1611	35
gene-KPN_00067	CP000647.1	78043	79026	-	984	83
gene-KPN_00068	CP000647.1	79316	80971	-	1656	138
gene-KPN_00069	CP000647.1	81059	81211	+	153	319
gene-KPN_00070	CP000647.1	81479	82663	+	1185	58
gene-KPN_00071	CP000647.1	82697	83905	-	1209	12
gene-KPN_00072	CP000647.1	84239	85135	+	897	55
gene-KPN_00073	CP000647.1	85173	85940	-	768	123
gene-KPN_00074	CP000647.1	85959	87176	-	1218	44
gene-KPN_00075	CP000647.1	87184	88047	-	864	18
gene-KPN_00076	CP000647.1	88059	90092	-	2034	16
gene-KPN_00077	CP000647.1	90488	91093	-	606	50
gene-KPN_00078	CP000647.1	91104	92504	-	1401	48
gene-KPN_00079	CP000647.1	92507	93598	-	1092	101
gene-KPN_00080	CP000647.1	93598	95169	-	1572	589
gene-KPN_00081	CP000647.1	96049	96933	+	885	73
gene-KPN_00082	CP000647.1	97328	99052	+	1725	132
gene-KPN_00083	CP000647.1	99055	99546	+	492	1030
gene-KPN_00084	CP000647.1	99727	100731	+	1005	3725
gene-KPN_00085	CP000647.1	101372	101830	+	459	871
gene-KPN_00086	CP000647.1	101833	102774	+	942	299
gene-KPN_00087	CP000647.1	102771	103136	+	366	182
gene-KPN_00088	CP000647.1	103152	104918	+	1767	1485
gene-KPN_00089	CP000647.1	104905	106392	+	1488	727
gene-KPN_00090	CP000647.1	106389	107747	+	1359	265
gene-KPN_00091	CP000647.1	107741	108823	+	1083	262
gene-KPN_00092	CP000647.1	108826	110142	+	1317	380
gene-KPN_00093	CP000647.1	110142	111416	+	1275	654
gene-KPN_00094	CP000647.1	111413	112483	+	1071	505
gene-KPN_00095	CP000647.1	112531	114006	+	1476	827
gene-KPN_00096	CP000647.1	113999	114919	+	921	927
gene-KPN_00097	CP000647.1	114921	115751	+	831	1123
gene-KPN_00098	CP000647.1	115748	117010	+	1263	1765
gene-KPN_00099	CP000647.1	117073	118224	+	1152	17102
gene-KPN_00100	CP000647.1	118325	119242	+	918	15975
gene-KPN_00101	CP000647.1	119634	120062	+	429	195
gene-KPN_00102	CP000647.1	120125	122830	+	2706	3063
gene-KPN_00103	CP000647.1	122889	123281	+	393	113
gene-KPN_00104	CP000647.1	123334	123528	-	195	179
gene-KPN_00105	CP000647.1	123538	124281	-	744	216
gene-KPN_00106	CP000647.1	124281	124901	-	621	225
gene-KPN_00107	CP000647.1	125245	126288	+	1044	665
gene-KPN_00108	CP000647.1	126325	127530	-	1206	6
gene-KPN_00109	CP000647.1	127520	128905	-	1386	0
gene-KPN_00110	CP000647.1	128916	129347	-	432	0
gene-KPN_00111	CP000647.1	129529	130422	-	894	96
gene-KPN_00112	CP000647.1	130556	131119	+	564	60
gene-KPN_00113	CP000647.1	131116	131970	+	855	69
gene-KPN_00114	CP000647.1	132206	133156	-	951	106
gene-KPN_00115	CP000647.1	133156	134517	-	1362	99
gene-KPN_00116	CP000647.1	134747	136117	-	1371	682
gene-KPN_00117	CP000647.1	136761	137540	+	780	753
gene-KPN_00118	CP000647.1	137677	140340	+	2664	9634
gene-KPN_00119	CP000647.1	140355	142253	+	1899	6430
gene-KPN_00120	CP000647.1	142460	143884	+	1425	9734
gene-KPN_00121	CP000647.1	144049	144333	+	285	41
gene-KPN_00122	CP000647.1	144379	145149	-	771	43
gene-KPN_00123	CP000647.1	145197	146804	-	1608	503
gene-KPN_00124	CP000647.1	147278	149833	+	2556	9076
gene-KPN_00125	CP000647.1	150020	150382	+	363	2132
gene-KPN_00126	CP000647.1	150455	151240	-	786	255
gene-KPN_00127	CP000647.1	151274	152134	-	861	265
gene-KPN_00128	CP000647.1	152284	154479	-	2196	153
gene-KPN_00129	CP000647.1	154476	154886	-	411	2
gene-KPN_00130	CP000647.1	155134	155460	-	327	183
gene-KPN_00131	CP000647.1	155627	157225	+	1599	248
gene-KPN_00132	CP000647.1	157309	159663	-	2355	1695
gene-KPN_00133	CP000647.1	159892	160440	+	549	227
gene-KPN_00134	CP000647.1	160500	161114	-	615	249
gene-KPN_00135	CP000647.1	161347	162273	+	927	664
gene-KPN_00136	CP000647.1	162270	163040	+	771	238
gene-KPN_00137	CP000647.1	163163	163603	+	441	99
gene-KPN_00138	CP000647.1	163662	164915	+	1254	147
gene-KPN_00139	CP000647.1	164951	165331	-	381	110
gene-KPN_00140	CP000647.1	165424	166278	-	855	124
gene-KPN_00141	CP000647.1	166290	167081	-	792	81
gene-KPN_00142	CP000647.1	167201	167680	-	480	18
gene-KPN_00143	CP000647.1	167677	169038	-	1362	284
gene-KPN_00144	CP000647.1	169134	170015	-	882	73
gene-KPN_00145	CP000647.1	170075	170530	-	456	19758
gene-KPN_00146	CP000647.1	170693	171409	-	717	612
gene-KPN_00147	CP000647.1	171409	171945	-	537	16
gene-KPN_00148	CP000647.1	172018	174447	+	2430	41
gene-KPN_00149	CP000647.1	174495	175295	-	801	9
